N ;K ;Answer First ;Time First ;;Answer Second ;Time Second 
18;2;The computer win;0.001;;If a person plays optimally, he will win;0
18;3;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;4;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;5;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;6;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;7;If a person plays optimally, he will win;0.006;;If a person plays optimally, he will win;0
18;8;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;9;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;10;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;11;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;12;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
18;13;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
18;14;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0.001
18;15;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;16;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;17;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
18;18;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
19;2;If a person plays optimally, he will win;0.001;;The computer win;0
19;3;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;4;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;5;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;6;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
19;7;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;8;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
19;9;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
19;10;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;11;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;12;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;13;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;14;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;15;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;16;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
19;17;If a person plays optimally, he will win;0.001;;If a person plays optimally, he will win;0
19;18;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
19;19;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0.001
20;2;The computer win;0.002;;The computer win;0
20;3;The computer win;0.002;;The computer win;0
20;4;The computer win;0.002;;The computer win;0
20;5;The computer win;0.003;;The computer win;0
20;6;The computer win;0.003;;The computer win;0
20;7;The computer win;0.002;;The computer win;0
20;8;The computer win;0.009;;The computer win;0
20;9;The computer win;0.002;;The computer win;0
20;10;The computer win;0.007;;The computer win;0
20;11;The computer win;0.003;;The computer win;0
20;12;The computer win;0.003;;The computer win;0
20;13;The computer win;0.002;;The computer win;0
20;14;The computer win;0.002;;The computer win;0
20;15;The computer win;0.004;;The computer win;0
20;16;The computer win;0.003;;The computer win;0
20;17;The computer win;0.003;;The computer win;0
20;18;The computer win;0.002;;The computer win;0
20;19;The computer win;0.002;;The computer win;0
20;20;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0.001
21;2;If a person plays optimally, he will win;0.002;;If a person plays optimally, he will win;0
21;3;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
21;4;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
21;5;If a person plays optimally, he will win;0.005;;If a person plays optimally, he will win;0
21;6;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
21;7;If a person plays optimally, he will win;0.004;;If a person plays optimally, he will win;0
21;8;If a person plays optimally, he will win;0.004;;If a person plays optimally, he will win;0
21;9;If a person plays optimally, he will win;0.005;;If a person plays optimally, he will win;0
21;10;If a person plays optimally, he will win;0.004;;If a person plays optimally, he will win;0
21;11;If a person plays optimally, he will win;0.005;;If a person plays optimally, he will win;0
21;12;If a person plays optimally, he will win;0.006;;If a person plays optimally, he will win;0
21;13;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0.001
21;14;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
21;15;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
21;16;If a person plays optimally, he will win;0.007;;If a person plays optimally, he will win;0
21;17;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0.001
21;18;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
21;19;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
21;20;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
21;21;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0.001
22;2;If a person plays optimally, he will win;0.003;;If a person plays optimally, he will win;0
22;3;If a person plays optimally, he will win;0.004;;If a person plays optimally, he will win;0
22;4;If a person plays optimally, he will win;0.005;;If a person plays optimally, he will win;0
22;5;If a person plays optimally, he will win;0.007;;If a person plays optimally, he will win;0
22;6;If a person plays optimally, he will win;0.007;;If a person plays optimally, he will win;0
22;7;If a person plays optimally, he will win;0.008;;If a person plays optimally, he will win;0
22;8;If a person plays optimally, he will win;0.006;;If a person plays optimally, he will win;0
22;9;If a person plays optimally, he will win;0.006;;If a person plays optimally, he will win;0
22;10;If a person plays optimally, he will win;0.009;;If a person plays optimally, he will win;0
